ms1,b1,e1,id2,ms2,b2,e2,ch_match
88,224,577,Shamela0023735,2338,1201,1438,151
89,921,1168,Shamela0011484,418,575,803,148
89,1,1117,Shamela0011780,217,195,1554,689
89,1103,1571,Shamela0011780,218,10,453,330
89,904,1571,Shamela0011787,272,293,1142,396
89,921,1168,Shamela0023735,2041,27,269,166
90,1,1195,Shamela0011780,218,453,1597,851
90,1195,1552,Shamela0011780,219,1,309,210
90,1,548,Shamela0011787,272,1142,1600,319
90,543,1229,Shamela0011787,273,40,635,407
91,1,1145,Shamela0011780,219,309,1585,855
91,1145,1592,Shamela0011780,220,1,436,340
91,1040,1237,Shamela0011787,262,1118,1344,123
91,649,946,Shamela0011787,274,34,344,198
91,991,1317,Shamela0023735,266,1325,1630,221
91,1317,1516,Shamela0023735,267,13,209,149
92,1,1094,Shamela0011780,220,436,1563,767
92,1094,1558,Shamela0011780,221,1,759,305
92,477,1062,Shamela0023735,944,1150,1587,272
93,7,849,Shamela0011780,221,759,1596,596
93,849,1644,Shamela0011780,222,1,801,545
93,262,415,Shamela0023735,2615,672,825,118
93,407,811,Shamela0023735,2627,1249,1554,212
93,811,1151,Shamela0023735,2628,1,336,256
94,1,1168,Shamela0011780,222,801,1688,553
94,1168,1542,Shamela0011780,223,1,477,267
94,1103,1537,Shamela0023735,1814,54,450,303
94,700,1081,Shamela0023735,2385,562,897,266
94,465,672,Shamela0023735,2616,1161,1410,163
95,384,1569,Shamela0011780,224,1,1341,797
96,1,158,Shamela0011780,224,1341,1518,124
96,158,1600,Shamela0011780,225,1,1582,1002
96,50,910,Shamela0011800,90,797,1542,289
97,599,1437,Shamela0011780,226,588,1578,579
97,40,752,Shamela0011780,226,7,743,439
98,655,1331,MSG20191024,293,932,1514,441
98,1,1409,Shamela0011780,227,106,1652,1089
98,1409,1670,Shamela0011780,228,1,269,203
98,651,1010,Shamela0011787,274,1284,1620,243
98,1010,1399,Shamela0011787,275,1,391,292
99,1,1429,Shamela0011780,228,269,1718,963
100,1,962,Shamela0011780,229,193,1066,516
100,958,1518,Shamela0011780,230,1004,1466,199
101,1371,1600,Shamela0023735,1420,831,1067,173
102,1,382,Shamela0023735,1420,1070,1397,235
102,553,1040,Shamela0023735,1818,1,402,255
107,1,695,Shamela0011780,231,166,746,426
107,695,1278,Shamela0011780,232,390,939,297
108,1,542,SHAM19Y23644,5785,661,1088,281
108,136,812,Shamela0011780,233,1,724,497
108,735,1352,Shamela0023735,923,842,1597,417
108,1,505,Shamela0035100,4885,266,600,216
109,1118,1435,ShamDhahabiyya0056999,197,837,1325,177
109,1118,1462,Shamela0009429,1396,475,786,182
110,151,900,Shamela0011780,235,863,1583,320
111,1,881,Shamela0011780,236,714,1620,399
112,236,1541,Shamela0011780,237,321,1563,621
112,413,1017,Shamela0023849,257,970,1494,216
113,221,1734,Shamela0011780,238,224,1763,758
114,206,778,MSG20191024,295,986,1317,234
114,1,1624,Shamela0011780,239,1,1749,1099
115,384,548,Shamela0011484,549,1436,1594,119
115,1,362,Shamela0011780,240,128,483,265
115,367,583,Shamela0011780,241,219,428,170
115,583,1225,Shamela0011780,242,933,1671,443
115,1225,1647,Shamela0011780,243,1,537,291
115,367,590,Shamela0023735,2649,761,961,150
116,250,1323,MSG20191024,308,837,1447,325
116,1258,1439,ShamDhahabiyya0056999,201,1411,1586,115
116,1,708,Shamela0011780,243,771,1690,491
116,708,1595,Shamela0011780,244,49,1039,567
117,238,466,MSG20191024,309,68,242,115
117,1,554,Shamela0011780,244,1039,1592,408
117,554,1380,Shamela0011780,245,1,821,598
118,196,1642,Shamela0011780,246,1,1436,923
118,277,430,Shamela0023735,968,213,368,106
119,1,232,Shamela0011780,246,1440,1663,173
119,232,1593,Shamela0011780,247,7,1536,884
120,98,558,MSG20191024,317,118,549,314
120,48,410,Shamela0011780,248,1,361,279
120,404,884,Shamela0011780,249,752,1304,309
120,971,1659,Shamela0011780,250,1,1191,470
120,1206,1628,Shamela0023735,2993,29,436,245
120,240,410,Shamela0023849,152,1,182,121
121,282,912,MSG20191024,316,695,993,158
121,99,332,Shamela0011484,632,497,686,113
121,1,403,Shamela0011780,250,1195,1657,293
121,396,1485,Shamela0011780,251,1,1294,720
121,73,952,Shamela0011787,117,433,1132,315
121,68,722,Shamela0023735,3014,888,1513,445
121,739,1520,Shamela0023735,3015,5,869,534
122,1,1356,Shamela0011780,252,5,1667,920
122,1027,1407,Shamela0023735,3087,1107,1579,275
123,120,1079,Shamela0011780,253,806,1762,713
123,1079,1735,Shamela0011780,254,1,794,469
123,730,1168,Shamela0023735,2949,1153,1557,291
124,1,735,Shamela0011780,254,731,1589,541
124,735,1593,Shamela0011780,255,1,1002,600
125,41,344,Shamela0009631,69,474,784,167
125,44,354,Shamela0009631,93,939,1176,162
125,44,354,Shamela0011484,633,385,638,176
125,1,429,Shamela0011780,255,1031,1472,256
125,474,759,Shamela0011780,256,8,452,199
125,753,1250,Shamela0011780,257,468,1093,286
125,34,354,Shamela0023735,3022,851,1161,226
125,41,344,Shamela0023849,128,480,807,162
126,1269,1524,Shamela0011780,262,1017,1324,156
126,396,1019,Shamela0023735,492,1077,1590,395
126,1010,1606,Shamela0023735,493,1,656,401
126,402,578,Shia003965Vols,6625,693,851,123
127,382,767,ShamDhahabiyya0056999,227,213,653,200
127,143,411,Shamela0011214,37,1328,1608,175
127,326,911,Shamela0011780,263,542,1328,378
127,906,1405,Shamela0011780,265,993,1614,352
127,143,526,Shamela0023735,385,472,881,261
127,1,143,Shamela0023735,493,656,793,109
128,655,1322,MSG20191024,249,135,658,208
128,520,765,Shamela0011780,267,1281,1669,174
129,508,676,ShamDhahabiyya0056999,61,519,697,112
129,1122,1655,Shamela0011780,271,465,1336,375
130,551,1037,ShamDhahabiyya0056999,226,942,1445,328
130,622,1037,Shamela0009429,1394,1,424,278
130,646,1046,Shamela0011780,274,17,538,271
130,1059,1396,Shamela0011780,275,513,855,254
130,1388,1592,Shamela0011780,276,501,701,155
131,326,1096,Shamela0011780,277,48,1631,579
131,1096,1616,Shamela0011780,278,1,973,376
131,1065,1405,Shamela0011787,428,1009,1657,158
131,1405,1616,Shamela0011787,429,1,238,139
132,624,1172,Shamela0011780,279,245,884,367
132,1188,1757,Shamela0011780,283,304,982,402
132,624,1178,Shamela0011787,429,285,773,256
132,1188,1520,Shamela0023735,2638,420,674,185
133,1,521,Shamela0011780,283,982,1642,328
133,527,833,Shamela0011780,284,85,446,197
133,902,1492,Shamela0011780,284,770,1691,371
134,934,1322,Shamela0011484,129,310,558,181
134,59,739,Shamela0011780,285,561,1733,364
134,746,1346,Shamela0011780,286,9,784,407
134,922,1249,Shamela0023735,673,1249,1578,238
134,524,718,Shamela0023735,1572,384,582,145
134,524,690,Shia001148,399,840,1006,126
134,524,697,Shia002937,174,1038,1212,127
135,779,949,ShamDhahabiyya0056999,244,1335,1496,114
135,183,647,Shamela0011780,287,1,895,319
135,708,1560,Shamela0011780,288,676,1622,570
135,784,1646,Shamela0011787,435,50,887,392
136,997,1447,Shamela0001043,506,721,1224,219
136,1,1664,Shamela0011780,289,81,1626,1077
136,111,905,Shamela0011787,435,984,1579,359
137,358,487,ShamDhahabiyya0056999,243,1030,1160,104
137,35,1567,Shamela0011780,290,1,1590,1027
137,752,901,Shamela0023735,1572,652,808,111
138,5,1502,Shamela0011780,291,41,1748,880
139,13,154,ShamAY0033828,132,1230,1367,100
139,166,828,Shamela0011780,292,879,1710,409
139,995,1663,Shamela0011780,293,765,1404,355
139,13,687,Shamela0023735,861,68,731,446
140,1,307,Shamela0011780,293,1301,1599,225
140,1247,1408,Shamela0011780,294,1493,1651,131
140,370,1247,Shamela0011780,294,75,1056,611
140,1450,1585,Shamela0011780,295,900,1184,102
140,352,904,Shamela0011787,434,776,1524,237
140,1223,1585,Shamela0023735,440,562,978,255
141,380,662,ShamDhahabiyya0056999,31,18,247,132
141,5,385,Shamela0011780,295,1213,1509,188
141,398,1526,Shamela0011780,296,5,1362,726
141,5,662,Shamela0023735,440,990,1573,408
141,753,1522,Shamela0023735,441,1,510,303
142,262,1588,Shamela0011780,297,109,1518,849
142,172,1504,Shamela0023735,1191,185,1597,964
143,545,1013,Shamela0011780,299,1174,1623,287
143,132,534,Shamela0011780,299,135,680,255
143,1017,1401,Shamela0011780,300,1,494,285
143,702,1143,Shamela0011787,522,948,1362,220
143,832,1023,Shamela0011787,567,267,459,135
143,737,1296,Shamela0023735,103,925,1413,304
143,1,713,Shamela0023735,1192,85,624,366
143,1302,1616,Shamela0023735,1755,480,827,227
144,1,423,Shamela0011780,300,1161,1566,250
144,1197,1446,Shamela0011780,301,1285,1600,155
144,423,1197,Shamela0011780,301,1,877,530
144,477,911,Shamela0023735,1192,617,1058,299
144,1,256,Shamela0023735,1709,1233,1466,166
145,1,1283,Shamela0011780,302,91,1563,874
145,1283,1570,Shamela0011780,303,1,423,162
145,1062,1380,Shamela0023735,500,367,803,172
146,1,688,Shamela0011780,303,423,1233,470
146,799,1620,Shamela0011780,304,7,910,609
146,982,1355,Shamela0011787,566,1250,1675,203
147,1,849,Shamela0011780,305,546,1616,642
147,849,1562,Shamela0011780,306,1,821,493
