id,book,alignments,ch_match
JK001291BK2,0765AbuMahasinHusayni.DhaylCibar,1,177
JK001293BK1,0748Dhahabi.MizanIctidal,11,1563
JK001293BK2,0806IbnHusaynNajmDinCiraqi.DhaylMizan,1,82
JK001296,0231IbnSallamJumahi.TabaqatFuhulShucara,20,3074
JK001297,0509IbnShahridarDaylami.Firdaws,24,3513
JK001302,0392IbnJinniMawsili.Khasais,1,132
JK001310,0630IbnCaliShaficiQalci.TahdhibRiyasa,17,3449
JK001312,0925IbnCabdWahhabAcraj.TahrirSuluk,17,8450
JK001316,0458AbuYaclaIbnFarra.RusulMuluk,2,636
JK001324,0974IbnHajarHaytami.SawaciqMuhriqa,38,8621
JK001325,1315Salawi.IstiqsaLiAhkbar,58,14171
JK001330,0874IbnTaghribirdi.NujumZahira,307,75555
JK001336,0850ShihabDinIbshihi.Mustatraf,159,34630
JK001412,0896IbnCaliIbnAzraqGharnati.BadaicSilk,42,13091
JK001429,0643DiyaDinMuqaddasi.FadailAcmal,6,1356
JK001435,0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya,1,219
JK001441,1313CorneliusVanDyck.IktifaQunuc,1,132
JK001460,0911Suyuti.MuzhirFiCulumLugha,10,2581
JK001477,0963CabdRahmanAbuFathCabbasi.MacahidTansis,85,21188
JK001480,0741IbnAhmadGharnatiKalbi.TashilLiCulumTanzil,2,195
JK001484,0233YahyaIbnMacin.HadithYahya,1,709
JK001487,0387IbnBattaCukbari.IbanaCanSharica,1,310
JK001493,0292Yacqubi.Tarikh,35,7024
JK003501,0927Culaymi.UnsJalil,87,24611
JK003502,1111MuhammadAminMuhibbi.KhulasatAthar,15,3173
JK003504,0249Azraqi.AkhbarMakka,90,29186
JK003608,0902Sakhawi.DawLamic,1,113
JK003609,0764Safadi.WafiBiWafayat,565,135609
JK005004,0911Suyuti.LaaliMasnuca,24,4829
JK005005,0963IbnMuhammadIbnCiraqKanani.TanzihSharica,24,4135
JK005008,0682IbnYahyaGhassani.TakhrijAhadithDicaf,1,94
JK005013,0748Dhahabi.AhadithMukhtaraMinMawducat,1,175
JK005014,1277IbnDarwishHut.AsnaMatalib,1,154
JK005018,0748Dhahabi.TalkhisMawducatIbnJawzi,5,812
JK005022,0771Subki.AhadithIhyaLaIsnadaLaha,2,260
JK005200,0743FakhrDinZaylaci.TabyinHaqaiq,3,477
JK006476,0489IbnMuhammadSamcani.TafsirQuran,111,17322
JK006670,0852IbnHajarCasqalani.ZahrNadirFiHalKhadir,4,831
JK006800,0224QasimIbnSalam.Amwal,22,5963
JK006801,0852IbnHajarCasqalani.MatalibCaliya,42,10254
JK006833,0290IbnAhmadIbnHanbal.Sunna,10,3118
JK006838,0458Bayhaqi.DalailNubuwwa,472,141105
JK006855,0779IbnYahyaHarraniMuqaddasi.TacbirRuya,1,216
JK006856,0110IbnSirin.MuntakhabKalamFiTafsirAhlam,1,462
JK006870,1206IbnCabdWahhab.Tawhid,3,717
JK006874,1206IbnCabdWahhab.FadlIslam,1,181
JK006883,1206IbnCabdWahhab.AdabMashyIlaSalat,1,149
JK006884,1206IbnCabdWahhab.AhkamTamanniMawt,6,1269
JK006897,1206IbnCabdWahhab.Hadith,14,2999
JK006900,0542IbnBassamShantarini.Dhakhira,144,40097
JK006907,0659SadrDinBasri.Hamasa,93,13976
JK006908,0609AbuCabbasJarrawi.HamasaMaghribiyya,127,19808
JK006914,0616MuhibbDinCukbari.SharhDiwanMutanabbi,12,1523
JK006919,0502RaghibIsbahani.MuhadaratUdaba,139,20518
JK006922,0328IbnQasimAnbari.ZahirFiMacani,11,1655
JK006950,0728IbnTaymiyya.RasailWaFatawa,58,21821
JK006957,0677SahibiTaji.HalbaFiAsmaKhayl,2,236
JK007001,0306Wakic.AkhbarQudat,9,1710
JK007006,1031CabdRaufMunawi.TaysirBiSharh,7,885
JK007007,0197IbnWahbQurashi.JamicFiHadith,1,158
JK007010,0843IbnIsmacilJadhbati.DurraGharra,4,1103
JK007011,0732IbnYacqubJanadi.SulukFiTabaqat,10,1740
JK007016,0310IbnAhmadDulabi.KunaWaAsma,8,1267
JK007018,0660SultanCulamaCizzDinDimashqi.TafsirQuran,128,25858
JK007020,0842IbnNasirDinDimashqi.SalwatKaib,12,4207
JK007025,0564IbnCabdWahidSamarqandi.Majlis,7,1254
JK007036,0686IbnZakariyaManbiji.LubabFiJamc,5,1649
JK007040,0370AbuMansurAzhari.TahdhibLugha,12,2649
JK007042,0776LisanDinIbnKhatib.RayhanatKitab,1,241
JK007049,0235IbnAbiShayba.Musnad,10,2426
JK007054,0763IbnMuflihHanbaliMuqaddasi.AdabSharciyya,56,10396
JK007062,0902Sakhawi.Buldaniyyat,2,298
JK007063,0597IbnJawzi.Tabsira,41,12407
JK007064,1307Qannawji.RawdaNadiyya,4,732
JK007065,0488IbnFutuhHumaydi.JamcBaynaSahihayn,166,51658
JK007074,0974IbnHajarHaytami.FatawaKubra,1,148
JK007081,1094IbnMusaKaffawi.Kulliyat,14,3930
JK007082,0333IbnMarwanDinawari.MujalasaWaJawahirCilm,62,12149
JK007083,0744IbnCabdHadi.MuharrirFiHadith,10,1949
JK007094,0412Sulami.Tafsir,4,635
JK007095,0399IbnAbiZamanaynIlbiri.Tafsir,18,3420
JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,12,1951
JK007099,1233SulaymanSibtIbnCabdWahhab.Taysir,10,2361
JK007106,0246HishamSulami.HadithHisham,2,525
JK007107,0676Nawawi.KhulasatAhkam,15,3122
JK007114,1004ShamsDinRamli.HashiyatRamli,3,982
JK007115,1072IbnAhmadMayyaraFasi.SharhMayyara,1,111
JK007116,0806IbnHusaynZaynDinCiraqi.TaqribAsanid,15,5952
JK007128,0597IbnJawzi.KashfMushkil,28,6693
JK007502,0001AwsIbnHajar.Diwan,1,91
JK007503,0007MaymunIbnQaysAcsha.Diwan,10,1779
JK007511,0001NabighaDhubyani.Diwan,6,923
JK007519,0001TufaylGhanawi.Diwan,1,75
JK007529,0001MuhalhilIbnRabica.Diwan,4,653
JK007531,0045JarwalIbnAwsHutaya.Diwan,2,194
JK007532,0024TumadirBinCamrKhansa.Diwan,2,266
JK007536,0021CamrZubaydi.Diwan,1,97
JK007537,0026KacbIbnZuhayr.Diwan,5,2047
JK007539,0080UqayshirAsadi.Diwan,6,691
JK007540,0040CaliIbnAbiTalib.Diwan,1,115
JK007543,0105AhwasAnsari.Diwan,8,1201
JK007544,0090AkhtalShacir.Diwan,3,429
JK007551,0117DhuRumma.Diwan,2,288
JK007553,0095CadiIbnRiqac.Diwan,5,2185
JK007556,0093IbnAbiRabica.Diwan,8,1018
JK007557,0068QaysIbnDharihLubna.Diwan,2,250
JK007558,0105KuthayyirCazza.Diwan,7,819
JK007560,0068QaysMajnunLayla.Diwan,3,284
JK007562,0090WaddahYaman.Diwan,1,189
JK007564,0528IbnZaqqaqBalansi.Diwan,1,148
JK007565,0533IbnKhafajaShacir.Diwan,5,762
JK007568,0463IbnZaydun.Diwan,6,1102
JK007571,0328IbnCabdRabbihi.Diwan,10,1649
JK007573,0480IbnHaddadQaysi.Diwan,2,344
JK007576,0527IbnHamdis.Diwan,16,3909
JK007581,0436AbuFadlMikali.Diwan,2,151
JK007582,0192IbnAhnaf.Diwan,2,162
JK007583,0231AbuTamam.Diwan,47,12328
JK007584,0357AbuFirasHamdani.Diwan,2,209
JK007585,0429AbuMansurThacalibi.Diwan,2,189
JK007589,0283IbnRumi.Diwan,51,7606
JK007592,0296IbnMuctazz.Diwan,13,1638
JK007596,0463IbnRashiqQayrawani.Diwan,4,781
JK007597,0630IbnCunayn.Diwan,4,708
JK007598,0507AbiwardiShacir.Diwan,3,953
JK007601,0284Buhturi.Diwan,3,364
JK007604,0198AbuNuwasShacir.Diwan,24,3672
JK007606,0362SariRaffa.Diwan,17,3031
JK007607,0688ShabZarif.Diwan,1,120
JK007608,0406SharifRadi.Diwan,4,610
JK007610,0354Mutanabbi.Diwan,5,631
JK007611,0385WaWaDimashqi.Diwan,8,1255
JK007613,0167BashsharIbnBurdShacir.Diwan,7,906
JK007615,0246DicbilKhuzaci.Diwan,3,415
JK007616,0235DikJinn.Diwan,6,816
JK007617,0198RabicaRaqqi.Diwan,3,348
JK007618,0583SibtIbnTacawidhiShacir.Diwan,1,285
JK007619,0240CabdSamadIbnMucadhdhal.Diwan,5,584
JK007620,0466IbnSinanKhafaji.Diwan,1,112
JK007623,0416CaliIbnMuhammadTihami.Diwan,1,90
JK007624,0210CaliyyaBintMahdi.Diwan,5,613
JK007626,0360KushajimShacir.Diwan,26,4250
JK007628,0215IbnHazimBahili.Diwan,1,107
JK007630,0428MihyarDaylami.Diwan,1,112
JK008250Vols,0310Tabari.TahdhibAthar,34,8687
JK009151,0771TajDinSubki.RafcHajib,4,798
JK009154,0696IbnZahiri.Mashyakha,6,1366
JK009174,0281IbnAbiDunya.QasrAmal,1,142
JK009179,0458Bayhaqi.QadaWaQadar,3,876
JK009189,0658IbnAbbar.MucjamAshab,4,585
JK009203,0142IbnMuqaffac.AdabKabir,11,3142
JK009204,0837IbnHijjaHamawi.TayyibMadhaq,44,12979
JK009207,0327AbuBakrKharaiti.HawatifJinan,18,6503
JK009208,0487AbuCubaydBakri.TanbihCalaAwham,6,835
JK009214,0685IbnYahyaSulami.CiqdDurar,23,8065
JK009218,0483IbnAhmadSarakhsi.SharhSiyarKabir,2,376
JK009220,0403AbuBakrBaqillani.Insaf,1,497
JK009223,0236AbuCabdAllahZubayri.NasabQuraysh,26,3586
